submission_date,state,new_case
8/22/2022,MN,0
8/23/2022,MN,0
8/24/2022,MN,0
8/25/2022,MN,9625
8/26/2022,MN,0
8/27/2022,MN,0
8/28/2022,MN,0
8/29/2022,MN,0
8/30/2022,MN,0
8/31/2022,MN,0
9/1/2022,MN,8394
9/2/2022,MN,0
9/3/2022,MN,0
9/4/2022,MN,0
9/5/2022,MN,0
9/6/2022,MN,0
9/7/2022,MN,0
9/8/2022,MN,6440
9/9/2022,MN,0
9/10/2022,MN,0
9/11/2022,MN,0
9/12/2022,MN,0
9/13/2022,MN,0
9/14/2022,MN,0
9/15/2022,MN,6346
9/16/2022,MN,0
9/17/2022,MN,0
9/18/2022,MN,0
9/19/2022,MN,0
9/20/2022,MN,0
9/21/2022,MN,0
9/22/2022,MN,6678
9/23/2022,MN,0
9/24/2022,MN,0
9/25/2022,MN,0
9/26/2022,MN,0
9/27/2022,MN,0
9/28/2022,MN,0
9/29/2022,MN,6120
9/30/2022,MN,0
10/1/2022,MN,0
10/2/2022,MN,0
10/3/2022,MN,0
10/4/2022,MN,0
10/5/2022,MN,0
10/6/2022,MN,5968
10/7/2022,MN,0
10/8/2022,MN,0
10/9/2022,MN,0
10/10/2022,MN,0
10/11/2022,MN,0
10/12/2022,MN,0
10/13/2022,MN,5386
10/14/2022,MN,0
10/15/2022,MN,0
10/16/2022,MN,0
10/17/2022,MN,0
10/18/2022,MN,0
